wednes_date	00	10	20	30	40	50	60	70	80	Total
2020-02-26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2020-03-04	0.0	0.0	0.0	0.0	0.0	0.0	1.9607843137254901	5.555555555555555	0.0	0.6928406466512702
2020-03-11	0.0	0.0	0.0	0.23255813953488372	0.0	0.18214936247723132	0.906344410876133	2.3728813559322033	7.207207207207207	1.0389610389610389
2020-03-18	0.0	0.0	0.0	0.07407407407407407	0.13218770654329146	0.20090406830738325	0.728744939271255	3.441084462982273	9.512195121951219	1.3752030319436925
2020-03-25	0.0	0.0	0.0	0.08806693086745927	0.07521624670928921	0.25344973246972685	1.5097690941385435	5.660377358490567	13.325740318906606	2.2924710424710426
2020-04-01	0.0	0.0	0.0	0.09976720984369804	0.05537098560354374	0.352843503528435	2.1538461538461537	7.641921397379912	18.82923191648024	3.385854651677436
2020-04-08	0.0	0.0	0.0	0.11560693641618498	0.07215007215007214	0.38419319429198684	2.3086269744835968	9.288990825688073	22.970117718080292	4.2304608453285475
2020-04-15	0.0	0.0	0.0	0.10715242432360034	0.06796556411418216	0.4686686339177226	2.852153667054715	10.324699014958044	25.29109125372326	4.81321582759482
2020-04-22	0.0	0.0	0.0	0.10243277848911651	0.06551648831622625	0.5525787006028131	2.9702970297029703	11.430599929002485	27.710533092969353	5.285332602589573
2020-04-29	0.0	0.0	0.0	0.12462612163509472	0.10676916506512919	0.5909389363099147	3.140633685380767	11.97752019669828	28.413931345527438	5.466162646773491
2020-05-06	0.0	0.0	0.0	0.12266928361138371	0.10532968190436064	0.6333225073075673	3.359955935004131	12.08217270194986	28.953229398663698	5.572060474021258
2020-05-13	0.0	0.0	0.0	0.12174336498660823	0.10460251046025104	0.6288294098677846	3.4454470877768664	12.153739612188366	29.04972919743968	5.588861588861589
2020-05-20	0.0	0.0	0.0	0.12130033964095098	0.10410160316468875	0.674373795761079	3.431372549019608	12.176612625043118	29.156449239823445	5.606440887903777
2020-05-27	0.5847953216374269	0.0	0.0	0.12074378169524269	0.10362694300518134	0.6718924972004479	3.4539026380201254	12.155647382920112	29.169728141072742	5.5964940756370725
2020-06-03	0.5681818181818182	0.0	0.0	0.12033694344163659	0.1034340091021928	0.6707122325135739	3.4464043419267303	12.118091314795743	29.144254278728603	5.581982331812445
2020-06-10	0.5263157894736842	0.0	0.0	0.1195886151638364	0.10300782859497322	0.6841686555290374	3.457590491626148	12.139917695473251	29.161574187240287	5.5696936507425185
2020-06-17	0.5076142131979695	0.0	0.0	0.11868027533823877	0.10260619741432384	0.6975269499048826	3.441785426189836	12.10670314637483	29.14327556748841	5.545588517972704
2020-06-24	0.48543689320388345	0.0	0.0	0.1167406023815083	0.10131712259371835	0.6920415224913495	3.423375234019791	12.073669849931786	29.125030465513042	5.486047321909347
2020-07-01	0.46728971962616817	0.0	0.0	0.11312217194570137	0.09924573243350536	0.6829116871022816	3.4201525914233097	12.02445652173913	29.04715605250365	5.3759107115175935
2020-07-08	0.43859649122807015	0.0	0.0	0.10986596352450011	0.09740892265731542	0.6730916322472082	3.349652151507344	11.994609164420485	29.000969932104752	5.281240498631803
2020-07-15	0.4032258064516129	0.0	0.0	0.10624734381640458	0.09527439024390244	0.6627504142190089	3.2911392405063293	11.949265687583445	28.909266409266408	5.180776670138372
2020-07-22	0.38167938931297707	0.0	0.0	0.10266940451745381	0.09324878776575904	0.6520450503852994	3.3059905543127024	11.836465545664359	28.822115384615383	5.071011588394179
2020-07-29	0.3558718861209964	0.0	0.0	0.09850275807722615	0.0905961224859576	0.6358381502890174	3.2218992248062017	11.716710182767624	28.78316997370308	4.920474343843084
2020-08-05	0.33333333333333337	0.0	0.0	0.09437523593808984	0.08830801836806781	0.6357728171799943	3.168930188229688	11.703847397348852	28.717826501429933	4.7865670828108815
2020-08-12	0.303951367781155	0.0	0.0	0.08919015340706386	0.10249402118209772	0.6212895209167472	3.1490552834149756	11.59141850784502	28.663025409641413	4.6027182435964455
2020-08-19	0.2785515320334262	0.0	0.0	0.08359806052499581	0.09853834784036787	0.6345348994194681	3.099361896080219	11.523809523809524	28.510738730233655	4.4024530089245655
2020-08-26	0.2518891687657431	0.0	0.0	0.0781616382679381	0.09399968666771111	0.6157474125507664	3.0721282279608193	11.375744280789721	28.264424199953282	4.1937165331943325
2020-09-02	0.22779043280182232	0.0	0.0	0.07236937328122739	0.08903398130286393	0.590823381521056	3.0041063323968014	11.203447214527547	28.017439192290038	3.992118756017285
2020-09-09	0.21834061135371177	0.0	0.0	0.06721333512568893	0.08322929671244278	0.576715126757179	2.941176470588235	10.862429125634138	27.696793002915456	3.7897439134734765
2020-09-16	0.21141649048625794	0.0	0.0	0.0625	0.0779423226812159	0.5494505494505495	2.81132449019996	10.61614116285797	27.588495575221238	3.6011025402050407
2020-09-23	0.20491803278688525	0.0	0.0	0.059199621122424814	0.07446940548591287	0.5262580857362131	2.722914669223394	10.362257792754844	27.35377255925201	3.4738181610985546
2020-09-30	0.1941747572815534	0.0	0.0	0.05448403617740002	0.0698730639338535	0.49730625777041026	2.593398621690243	9.99731255038968	26.693395231061405	3.2791559737667524
2020-10-07	0.17391304347826086	0.0	0.0	0.04631773969430292	0.06013229104028864	0.44372000362220415	2.3137067177277806	9.04063476797307	25.252125766264584	2.8659523625992445
2020-10-14	0.14285714285714285	0.0	0.0	0.03480197675227953	0.04548900682335102	0.34453663338489665	1.7963330029732407	7.217847769028872	22.063997319484	2.2621644693161342
