wednes_date	00	10	20	30	40	50	60	70	80	Total
2020-02-26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2020-03-04	0.0	0.0	0.0	0.0	0.0	0.0	0.23094688221709006	0.4618937644341801	0.0	0.6928406466512702
2020-03-11	0.0	0.0	0.0	0.03710575139146568	0.0	0.03710575139146568	0.11131725417439704	0.2597402597402597	0.5936920222634509	1.0389610389610389
2020-03-18	0.0	0.0	0.0	0.010828370330265295	0.02165674066053059	0.04331348132106118	0.09745533297238765	0.3573362208987547	0.844612885760693	1.3752030319436925
2020-03-25	0.0	0.0	0.0	0.012065637065637066	0.012065637065637066	0.0542953667953668	0.2051158301158301	0.5972490347490348	1.4116795366795367	2.2924710424710426
2020-04-01	0.0	0.0	0.0	0.013277861379127202	0.008851907586084801	0.0752412144817208	0.27883508896167125	0.7745419137824201	2.2351066654864122	3.3858546516774366
2020-04-08	0.0	0.0	0.0	0.015272421824290788	0.01145431636821809	0.08018021457752664	0.290176014661525	0.9277996258256652	2.9055782520713223	4.2304608453285475
2020-04-15	0.0	0.0	0.0	0.014271952046241123	0.010703964034680843	0.09633567631212758	0.34966282513290753	1.0097406072715596	3.3325008027973024	4.813215827594819
2020-04-22	0.0	0.0	0.0	0.013701445502500515	0.010276084126875385	0.11303692539562923	0.3596629444406385	1.1029663629512914	3.685688840172638	5.285332602589573
2020-04-29	0.0	0.0	0.0	0.016726323888535777	0.016726323888535777	0.1204295319974576	0.3780149198809086	1.1407352891981402	3.7935302579199144	5.466162646773492
2020-05-06	0.0	0.0	0.0	0.01650491846570278	0.01650491846570278	0.12873836403248168	0.4027200105631478	1.1454413415197728	3.8621509209744507	5.572060474021258
2020-05-13	0.0	0.0	0.0	0.01638001638001638	0.01638001638001638	0.12776412776412777	0.4127764127764128	1.1498771498771498	3.8656838656838657	5.5888615888615885
2020-05-20	0.0	0.0	0.0	0.01629779327879005	0.01629779327879005	0.13690146354183644	0.4107043906255093	1.1506242054825777	3.8756152416962744	5.606440887903778
2020-05-27	0.003246226261970459	0.0	0.0	0.016231131309852296	0.016231131309852296	0.1363415030027593	0.4122707352702483	1.1459178704755721	3.866255478006817	5.596494075637072
2020-06-03	0.003235931786557939	0.0	0.0	0.016179658932789696	0.016179658932789696	0.13590913503543345	0.41096333689285824	1.1422839206549527	3.857230689577064	5.581982331812446
2020-06-10	0.0032213381438649614	0.0	0.0	0.016106690719324808	0.016106690719324808	0.13851754018619336	0.41233128241471506	1.1403537029281965	3.8430564056308993	5.5696936507425185
2020-06-17	0.0032036906516306786	0.0	0.0	0.016018453258153393	0.016018453258153393	0.14096238867174984	0.41007240340872686	1.1341064906772602	3.8252066380470304	5.545588517972705
2020-06-24	0.003167463811725951	0.0	0.0	0.015837319058629753	0.015837319058629753	0.13936840771594183	0.4054353679009217	1.1212821893509866	3.785119255012512	5.486047321909347
2020-07-01	0.0031002945279801583	0.0	0.0	0.015501472639900789	0.015501472639900789	0.13641295923112695	0.4030382886374206	1.0975042629049758	3.704851960936289	5.375910711517594
2020-07-08	0.0030404378230465185	0.0	0.0	0.015202189115232594	0.015202189115232594	0.13377926421404682	0.3952569169960474	1.0823958650045606	3.6363636363636362	5.281240498631803
2020-07-15	0.00297574765659872	0.0	0.0	0.014878738282993602	0.014878738282993602	0.1309328968903437	0.3868471953578337	1.0653176610623418	3.5649456926052667	5.180776670138372
2020-07-22	0.0029043594435247304	0.0	0.0	0.014521797217623655	0.014521797217623655	0.12779181551508817	0.3862798059887892	1.0426650402253783	3.4823269727861517	5.07101158839418
2020-07-29	0.0028100938571348284	0.0	0.0	0.014050469285674142	0.014050469285674142	0.12364412971393245	0.37374248299893215	1.0088236947114033	3.383353003990333	4.920474343843084
2020-08-05	0.002725835468571117	0.0	0.0	0.013629177342855585	0.013629177342855585	0.12266259608570028	0.3625361173199586	0.9867524396227444	3.2846317396281957	4.7865670828108815
