geoRegion,datum,entries,timeframe_all,timeframe_phase2,timeframe_phase2b,timeframe_phase3,timeframe_phase4,timeframe_vacc_info,timeframe_28d,timeframe_14d,sumTotal,offset_vacc_info,sumTotal_vacc_info,freq,prct,pop,inz_entries,inzsumTotal,type,type_variant,version,datum_unit,datum_dboardformated,entries_diff_abs,entries_diff_inz,entries_diff_pct,prct_diff
SG,202140,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,745,645,100,1,100,514504,0.19,144.8,COVID19Death,,2021-11-03_07-53-32,isoweek,2021-40,1,0.19,NA,NA
SH,202140,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,73,55,18,NA,NA,83107,0,87.84,COVID19Death,,2021-11-03_07-53-32,isoweek,2021-40,0,0,NA,NA
SO,202140,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,284,244,40,NA,NA,277462,0,102.36,COVID19Death,,2021-11-03_07-53-32,isoweek,2021-40,0,0,NA,NA
SZ,202140,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,226,186,40,NA,NA,162157,0,139.37,COVID19Death,,2021-11-03_07-53-32,isoweek,2021-40,-1,-0.62,-100,NA
TG,202140,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,456,354,102,1,100,282909,0.35,161.18,COVID19Death,,2021-11-03_07-53-32,isoweek,2021-40,-3,-1.06,-75,0
TI,202140,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,892,808,84,NA,NA,350986,0,254.14,COVID19Death,,2021-11-03_07-53-32,isoweek,2021-40,0,0,NA,NA
UR,202140,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,53,37,16,1,100,36819,2.72,143.95,COVID19Death,,2021-11-03_07-53-32,isoweek,2021-40,0,0,0,0
VD,202140,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,1032,872,160,NA,NA,814762,0,126.66,COVID19Death,,2021-11-03_07-53-32,isoweek,2021-40,-3,-0.37,-100,NA
VS,202140,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,677,582,95,NA,NA,348503,0,194.26,COVID19Death,,2021-11-03_07-53-32,isoweek,2021-40,-1,-0.29,-100,NA
ZG,202140,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,103,81,22,NA,NA,128794,0,79.97,COVID19Death,,2021-11-03_07-53-32,isoweek,2021-40,-1,-0.78,-100,NA
ZH,202140,4,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,1458,1126,332,1,100,1553423,0.26,93.86,COVID19Death,,2021-11-03_07-53-32,isoweek,2021-40,-6,-0.38,-60,0
AG,202141,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,700,559,141,1,100,694072,0.14,100.85,COVID19Death,,2021-11-03_07-53-32,isoweek,2021-41,-2,-0.29,-66.7,0
AI,202141,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,17,15,2,NA,NA,16293,0,104.34,COVID19Death,,2021-11-03_07-53-32,isoweek,2021-41,0,0,NA,NA
AR,202141,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,65,55,10,NA,NA,55309,0,117.52,COVID19Death,,2021-11-03_07-53-32,isoweek,2021-41,0,0,NA,NA
BE,202141,3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1166,927,239,1,100,1043132,0.29,111.78,COVID19Death,,2021-11-03_07-53-32,isoweek,2021-41,-4,-0.38,-57.1,0
BL,202141,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,229,198,31,1,100,290969,0.34,78.7,COVID19Death,,2021-11-03_07-53-32,isoweek,2021-41,0,0,0,0
BS,202141,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,220,189,31,NA,NA,196735,0,111.83,COVID19Death,,2021-11-03_07-53-32,isoweek,2021-41,-1,-0.51,-100,NA
FL,202141,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,58,53,5,NA,NA,39055,0,148.51,COVID19Death,,2021-11-03_07-53-32,isoweek,2021-41,0,0,NA,NA
FR,202141,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,458,414,44,NA,NA,325496,0,140.71,COVID19Death,,2021-11-03_07-53-32,isoweek,2021-41,0,0,NA,NA
GE,202141,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,758,702,56,NA,NA,506343,0,149.7,COVID19Death,,2021-11-03_07-53-32,isoweek,2021-41,0,0,NA,NA
