sex,nachweismethode,geoRegion,datum,entries,entries_pos,entries_neg,sumTotal,anteil_pos,anteil_pos_diff,anteil_pos_all,freq,prct,pop,inz_entries,inzsumTotal,type,type_variant,version,datum_unit,datum_dboardformated,entries_diff_abs,entries_diff_inz,entries_diff_pct,prct_diff,timeframe_all,timeframe_phase2,timeframe_phase2b,timeframe_phase3,timeframe_phase4,timeframe_28d,timeframe_14d
male,all,CH06,202046,5903,1229,4674,76857,20.8,-1.3999999999999986,10.8,0.486,48.6,416252,1418.13,18464.06,COVID19Test,sex,2021-11-03_07-53-32,isoweek,2020-46,-936,-224.87,-13.7,-0.6999999999999957,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
male,all,CH07,202046,3867,1084,2783,36186,28,-1.3000000000000007,13.4,0.45,45,170830,2263.65,21182.46,COVID19Test,sex,2021-11-03_07-53-32,isoweek,2020-46,-113,-66.15,-2.8,-1.1000000000000014,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
female,all,CH01,202046,29078,8415,20663,286654,28.9,-4,16.8,0.554,55.400000000000006,851116,3416.46,33679.78,COVID19Test,sex,2021-11-03_07-53-32,isoweek,2020-46,-4081,-479.48,-12.3,0.5,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
female,all,CH02,202046,19861,4924,14937,208281,24.8,-5.099999999999998,13.6,0.552,55.2,959124,2070.74,21715.75,COVID19Test,sex,2021-11-03_07-53-32,isoweek,2020-46,-3561,-371.28,-15.2,1.1000000000000014,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
female,all,CH03,202046,11261,1922,9339,122085,17.1,-0.09999999999999787,7.7,0.542,54.2,594574,1893.96,20533.19,COVID19Test,sex,2021-11-03_07-53-32,isoweek,2020-46,-496,-83.42,-4.2,2.8000000000000043,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
female,all,CH04,202046,16623,2761,13862,209683,16.6,-1.1999999999999993,8.2,0.536,53.6,779124,2133.55,26912.66,COVID19Test,sex,2021-11-03_07-53-32,isoweek,2020-46,-2337,-299.95,-12.3,0.6999999999999957,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
female,all,CH05,202046,10158,2364,7794,111836,23.3,0,11,0.538,53.800000000000004,594114,1709.77,18824,COVID19Test,sex,2021-11-03_07-53-32,isoweek,2020-46,-1284,-216.12,-11.2,1.6000000000000014,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
female,all,CH06,202046,6237,1327,4910,75724,21.3,-0.1999999999999993,10.6,0.514,51.4,409493,1523.1,18492.14,COVID19Test,sex,2021-11-03_07-53-32,isoweek,2020-46,-808,-197.32,-11.5,0.6999999999999957,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
female,all,CH07,202046,4727,1211,3516,39399,25.6,-0.29999999999999716,12.7,0.55,55.00000000000001,180156,2623.84,21869.38,COVID19Test,sex,2021-11-03_07-53-32,isoweek,2020-46,73,40.52,1.6,1.1000000000000014,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
unknown,all,CH01,202046,19,7,12,615,36.8,24.299999999999997,2.3,0,0,NA,NA,NA,COVID19Test,sex,2021-11-03_07-53-32,isoweek,2020-46,11,NA,137.5,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
unknown,all,CH02,202046,34,6,28,120,17.6,-2.3999999999999986,9.2,0.001,0.1,NA,NA,NA,COVID19Test,sex,2021-11-03_07-53-32,isoweek,2020-46,19,NA,126.7,0.1,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
unknown,all,CH03,202046,3,0,3,58,0,-50,13.8,0,0,NA,NA,NA,COVID19Test,sex,2021-11-03_07-53-32,isoweek,2020-46,1,NA,50,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
