sex,geoRegion,datum,entries,timeframe_all,timeframe_phase2,timeframe_phase2b,timeframe_phase3,timeframe_phase4,timeframe_vacc_info,timeframe_28d,timeframe_14d,sumTotal,offset_vacc_info,sumTotal_vacc_info,freq,prct,pop,inz_entries,inzsumTotal,type,type_variant,version,datum_unit,datum_dboardformated,entries_diff_abs,entries_diff_inz,entries_diff_pct,prct_diff
female,BE,202112,497,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,29512,25940,3572,0.471,47.099999999999994,530832,93.63,5559.57,COVID19Cases,sex,2021-11-03_07-53-32,isoweek,2021-12,125,23.55,33.6,-1.8000000000000043
female,BL,202112,188,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,7619,6347,1272,0.527,52.7,148202,126.85,5140.96,COVID19Cases,sex,2021-11-03_07-53-32,isoweek,2021-12,-23,-15.52,-10.9,-2.3999999999999986
female,BS,202112,128,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,5741,4967,774,0.525,52.5,101114,126.59,5677.75,COVID19Cases,sex,2021-11-03_07-53-32,isoweek,2021-12,21,20.77,19.6,1.1000000000000014
female,FL,202112,14,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,1425,1317,108,0.438,43.8,19687,71.11,7238.28,COVID19Cases,sex,2021-11-03_07-53-32,isoweek,2021-12,5,25.39,55.6,-1.2000000000000028
female,FR,202112,231,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,15369,13505,1864,0.536,53.6,162511,142.14,9457.21,COVID19Cases,sex,2021-11-03_07-53-32,isoweek,2021-12,4,2.46,1.8,1.3999999999999986
female,GE,202112,580,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,29395,25347,4048,0.515,51.5,261023,222.2,11261.46,COVID19Cases,sex,2021-11-03_07-53-32,isoweek,2021-12,51,19.54,9.6,-1.2000000000000028
female,GL,202112,10,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,1235,1102,133,0.4,40,20226,49.44,6106,COVID19Cases,sex,2021-11-03_07-53-32,isoweek,2021-12,2,9.89,25,0
female,GR,202112,100,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,5769,4920,849,0.485,48.5,99807,100.19,5780.16,COVID19Cases,sex,2021-11-03_07-53-32,isoweek,2021-12,27,27.05,37,3.6999999999999957
female,JU,202112,43,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,3407,2992,415,0.544,54.400000000000006,37235,115.48,9149.99,COVID19Cases,sex,2021-11-03_07-53-32,isoweek,2021-12,14,37.6,48.3,10.500000000000007
female,LU,202112,250,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,12324,10622,1702,0.478,47.8,208765,119.75,5903.29,COVID19Cases,sex,2021-11-03_07-53-32,isoweek,2021-12,22,10.54,9.6,-3.6000000000000014
