date,geoRegion,location,entries,type_variant,pop,sumTotal,prctPopSumTotal,freq,prct,prctSumTotal,per100Persons,per100PersonsTotal,type,version,granularity
202138,CH,medical_practice,23197,location,8670300,1662832,NA,0.12,12,16.1,0.27,19.18,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202139,CH,medical_practice,16190,location,8670300,1679022,NA,0.099,9.9,16,0.19,19.37,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202140,CH,medical_practice,17432,location,8670300,1696454,NA,0.107,10.7,15.9,0.2,19.57,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202141,CH,medical_practice,18699,location,8670300,1715153,NA,0.111,11.1,15.8,0.22,19.78,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202142,CH,medical_practice,18108,location,8670300,1733261,NA,0.129,12.9,15.8,0.21,19.99,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202143,CH,medical_practice,13052,location,8670300,1746313,NA,0.132,13.200000000000001,15.8,0.15,20.14,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202052,CH,pharmacy,0,location,8670300,0,NA,0,0,0,0,0,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202053,CH,pharmacy,0,location,8670300,0,NA,0,0,0,0,0,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202101,CH,pharmacy,1,location,8670300,1,NA,0,0,0,0,0,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202102,CH,pharmacy,0,location,8670300,1,NA,0,0,0,0,0,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202103,CH,pharmacy,2,location,8670300,3,NA,0,0,0,0,0,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202104,CH,pharmacy,1,location,8670300,4,NA,0,0,0,0,0,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202105,CH,pharmacy,1,location,8670300,5,NA,0,0,0,0,0,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202106,CH,pharmacy,8,location,8670300,13,NA,0,0,0,0,0,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202107,CH,pharmacy,9,location,8670300,22,NA,0,0,0,0,0,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202108,CH,pharmacy,3,location,8670300,25,NA,0,0,0,0,0,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202109,CH,pharmacy,3,location,8670300,28,NA,0,0,0,0,0,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202110,CH,pharmacy,11,location,8670300,39,NA,0,0,0,0,0,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202111,CH,pharmacy,10,location,8670300,49,NA,0,0,0,0,0,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202112,CH,pharmacy,8,location,8670300,57,NA,0,0,0,0,0,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202113,CH,pharmacy,3,location,8670300,60,NA,0,0,0,0,0,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202114,CH,pharmacy,18,location,8670300,78,NA,0,0,0,0,0,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202115,CH,pharmacy,228,location,8670300,306,NA,0.001,0.1,0,0,0,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202116,CH,pharmacy,1083,location,8670300,1389,NA,0.003,0.3,0.1,0.01,0.02,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202117,CH,pharmacy,2909,location,8670300,4298,NA,0.008,0.8,0.1,0.03,0.05,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202118,CH,pharmacy,6762,location,8670300,11060,NA,0.015,1.5,0.3,0.08,0.13,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202119,CH,pharmacy,12127,location,8670300,23187,NA,0.026,2.6,0.6,0.14,0.27,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202120,CH,pharmacy,18419,location,8670300,41606,NA,0.032,3.2,1,0.21,0.48,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202121,CH,pharmacy,19104,location,8670300,60710,NA,0.034,3.4000000000000004,1.2,0.22,0.7,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202122,CH,pharmacy,21963,location,8670300,82673,NA,0.035,3.5000000000000004,1.5,0.25,0.95,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202123,CH,pharmacy,28822,location,8670300,111495,NA,0.045,4.5,1.7999999999999998,0.33,1.29,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202124,CH,pharmacy,28846,location,8670300,140341,NA,0.048,4.8,2.1,0.33,1.62,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202125,CH,pharmacy,26911,location,8670300,167252,NA,0.052,5.2,2.3,0.31,1.93,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202126,CH,pharmacy,24623,location,8670300,191875,NA,0.055,5.5,2.5,0.28,2.21,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202127,CH,pharmacy,23108,location,8670300,214983,NA,0.056,5.6000000000000005,2.6,0.27,2.48,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202128,CH,pharmacy,19351,location,8670300,234334,NA,0.053,5.3,2.7,0.22,2.7,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202129,CH,pharmacy,15659,location,8670300,249993,NA,0.053,5.3,2.8000000000000003,0.18,2.88,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202130,CH,pharmacy,12760,location,8670300,262753,NA,0.068,6.800000000000001,2.9000000000000004,0.15,3.03,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202131,CH,pharmacy,10307,location,8670300,273060,NA,0.075,7.5,3,0.12,3.15,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202132,CH,pharmacy,10961,location,8670300,284021,NA,0.082,8.200000000000001,3.1,0.13,3.28,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202133,CH,pharmacy,12143,location,8670300,296164,NA,0.085,8.5,3.1,0.14,3.42,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202134,CH,pharmacy,12514,location,8670300,308678,NA,0.079,7.9,3.2,0.14,3.56,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202135,CH,pharmacy,13810,location,8670300,322488,NA,0.089,8.9,3.3000000000000003,0.16,3.72,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202136,CH,pharmacy,15804,location,8670300,338292,NA,0.082,8.200000000000001,3.4000000000000004,0.18,3.9,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202137,CH,pharmacy,20074,location,8670300,358366,NA,0.091,9.1,3.5000000000000004,0.23,4.13,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202138,CH,pharmacy,18378,location,8670300,376744,NA,0.095,9.5,3.5999999999999996,0.21,4.35,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202139,CH,pharmacy,18949,location,8670300,395693,NA,0.115,11.5,3.8,0.22,4.56,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202140,CH,pharmacy,16393,location,8670300,412086,NA,0.101,10.100000000000001,3.9,0.19,4.75,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202141,CH,pharmacy,17352,location,8670300,429438,NA,0.103,10.299999999999999,4,0.2,4.95,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202142,CH,pharmacy,15120,location,8670300,444558,NA,0.108,10.8,4,0.17,5.13,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202143,CH,pharmacy,11964,location,8670300,456522,NA,0.121,12.1,4.1000000000000005,0.14,5.27,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202052,CH,hospital,18,location,8670300,18,NA,0.016,1.6,1.6,0,0,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202053,CH,hospital,387,location,8670300,405,NA,0.074,7.3999999999999995,6.3,0,0,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202101,CH,hospital,2696,location,8670300,3101,NA,0.079,7.9,7.7,0.03,0.04,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202102,CH,hospital,5138,location,8670300,8239,NA,0.093,9.3,8.6,0.06,0.1,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202103,CH,hospital,9351,location,8670300,17590,NA,0.093,9.3,9,0.11,0.2,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202104,CH,hospital,5137,location,8670300,22727,NA,0.046,4.6,7.3999999999999995,0.06,0.26,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202105,CH,hospital,3879,location,8670300,26606,NA,0.039,3.9,6.5,0.04,0.31,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202106,CH,hospital,8621,location,8670300,35227,NA,0.065,6.5,6.5,0.1,0.41,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202107,CH,hospital,7438,location,8670300,42665,NA,0.057,5.7,6.4,0.09,0.49,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202108,CH,hospital,3784,location,8670300,46449,NA,0.027,2.7,5.7,0.04,0.54,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202109,CH,hospital,6035,location,8670300,52484,NA,0.04,4,5.5,0.07,0.61,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202110,CH,hospital,12565,location,8670300,65049,NA,0.083,8.3,5.800000000000001,0.14,0.75,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202111,CH,hospital,12536,location,8670300,77585,NA,0.083,8.3,6.1,0.14,0.89,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202112,CH,hospital,11152,location,8670300,88737,NA,0.061,6.1,6.1,0.13,1.02,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202113,CH,hospital,9389,location,8670300,98126,NA,0.054,5.4,6.1,0.11,1.13,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202114,CH,hospital,14257,location,8670300,112383,NA,0.068,6.800000000000001,6.1,0.16,1.3,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202115,CH,hospital,15630,location,8670300,128013,NA,0.053,5.3,6,0.18,1.48,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202116,CH,hospital,13603,location,8670300,141616,NA,0.037,3.6999999999999997,5.7,0.16,1.63,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202117,CH,hospital,13710,location,8670300,155326,NA,0.035,3.5000000000000004,5.4,0.16,1.79,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202118,CH,hospital,19158,location,8670300,174484,NA,0.043,4.3,5.2,0.22,2.01,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202119,CH,hospital,11315,location,8670300,185799,NA,0.024,2.4,4.9,0.13,2.14,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202120,CH,hospital,13523,location,8670300,199322,NA,0.024,2.4,4.6,0.16,2.3,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202121,CH,hospital,11457,location,8670300,210779,NA,0.021,2.1,4.3,0.13,2.43,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202122,CH,hospital,13931,location,8670300,224710,NA,0.022,2.1999999999999997,4.1000000000000005,0.16,2.59,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202123,CH,hospital,14008,location,8670300,238718,NA,0.022,2.1999999999999997,3.9,0.16,2.75,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202124,CH,hospital,7679,location,8670300,246397,NA,0.013,1.3,3.5999999999999996,0.09,2.84,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202125,CH,hospital,5786,location,8670300,252183,NA,0.011,1.0999999999999999,3.5000000000000004,0.07,2.91,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202126,CH,hospital,5828,location,8670300,258011,NA,0.013,1.3,3.3000000000000003,0.07,2.98,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202127,CH,hospital,3860,location,8670300,261871,NA,0.009,0.8999999999999999,3.2,0.04,3.02,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202128,CH,hospital,3132,location,8670300,265003,NA,0.009,0.8999999999999999,3.1,0.04,3.06,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202129,CH,hospital,2489,location,8670300,267492,NA,0.008,0.8,3,0.03,3.09,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202130,CH,hospital,2932,location,8670300,270424,NA,0.016,1.6,3,0.03,3.12,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202131,CH,hospital,2732,location,8670300,273156,NA,0.02,2,3,0.03,3.15,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202132,CH,hospital,2774,location,8670300,275930,NA,0.021,2.1,3,0.03,3.18,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202133,CH,hospital,3183,location,8670300,279113,NA,0.022,2.1999999999999997,3,0.04,3.22,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202134,CH,hospital,4259,location,8670300,283372,NA,0.027,2.7,3,0.05,3.27,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202135,CH,hospital,4567,location,8670300,287939,NA,0.029,2.9000000000000004,3,0.05,3.32,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202136,CH,hospital,4741,location,8670300,292680,NA,0.025,2.5,2.9000000000000004,0.05,3.38,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202137,CH,hospital,5312,location,8670300,297992,NA,0.024,2.4,2.9000000000000004,0.06,3.44,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202138,CH,hospital,4761,location,8670300,302753,NA,0.025,2.5,2.9000000000000004,0.05,3.49,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202139,CH,hospital,4323,location,8670300,307076,NA,0.026,2.6,2.9000000000000004,0.05,3.54,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202140,CH,hospital,3883,location,8670300,310959,NA,0.024,2.4,2.9000000000000004,0.04,3.59,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202141,CH,hospital,4523,location,8670300,315482,NA,0.027,2.7,2.9000000000000004,0.05,3.64,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202142,CH,hospital,2710,location,8670300,318192,NA,0.019,1.9,2.9000000000000004,0.03,3.67,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202143,CH,hospital,2169,location,8670300,320361,NA,0.022,2.1999999999999997,2.9000000000000004,0.03,3.69,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202052,CH,other,605,location,8670300,605,NA,0.535,53.5,53.5,0.01,0.01,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202053,CH,other,584,location,8670300,1189,NA,0.111,11.1,18.6,0.01,0.01,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202101,CH,other,4256,location,8670300,5445,NA,0.125,12.5,13.5,0.05,0.06,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202102,CH,other,4941,location,8670300,10386,NA,0.089,8.9,10.8,0.06,0.12,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202103,CH,other,3116,location,8670300,13502,NA,0.031,3.1,6.9,0.04,0.16,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202104,CH,other,4706,location,8670300,18208,NA,0.042,4.2,5.8999999999999995,0.05,0.21,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202105,CH,other,4966,location,8670300,23174,NA,0.05,5,5.7,0.06,0.27,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202106,CH,other,6339,location,8670300,29513,NA,0.047,4.7,5.5,0.07,0.34,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202107,CH,other,3544,location,8670300,33057,NA,0.027,2.7,4.9,0.04,0.38,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202108,CH,other,4924,location,8670300,37981,NA,0.036,3.5999999999999996,4.7,0.06,0.44,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202109,CH,other,7887,location,8670300,45868,NA,0.052,5.2,4.8,0.09,0.53,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202110,CH,other,3559,location,8670300,49427,NA,0.023,2.3,4.3999999999999995,0.04,0.57,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202111,CH,other,4153,location,8670300,53580,NA,0.028,2.8000000000000003,4.2,0.05,0.62,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202112,CH,other,5248,location,8670300,58828,NA,0.029,2.9000000000000004,4.1000000000000005,0.06,0.68,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202113,CH,other,3628,location,8670300,62456,NA,0.021,2.1,3.9,0.04,0.72,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202114,CH,other,1449,location,8670300,63905,NA,0.007,0.7000000000000001,3.5000000000000004,0.02,0.74,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202115,CH,other,3063,location,8670300,66968,NA,0.01,1,3.2,0.04,0.77,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202116,CH,other,2527,location,8670300,69495,NA,0.007,0.7000000000000001,2.8000000000000003,0.03,0.8,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202117,CH,other,3292,location,8670300,72787,NA,0.009,0.8999999999999999,2.5,0.04,0.84,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202118,CH,other,3545,location,8670300,76332,NA,0.008,0.8,2.3,0.04,0.88,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202119,CH,other,2108,location,8670300,78440,NA,0.005,0.5,2.1,0.02,0.9,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202120,CH,other,6236,location,8670300,84676,NA,0.011,1.0999999999999999,1.9,0.07,0.98,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202121,CH,other,5642,location,8670300,90318,NA,0.01,1,1.7999999999999998,0.07,1.04,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202122,CH,other,6298,location,8670300,96616,NA,0.01,1,1.7000000000000002,0.07,1.11,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202123,CH,other,4717,location,8670300,101333,NA,0.007,0.7000000000000001,1.6,0.05,1.17,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202124,CH,other,5571,location,8670300,106904,NA,0.009,0.8999999999999999,1.6,0.06,1.23,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202125,CH,other,6132,location,8670300,113036,NA,0.012,1.2,1.5,0.07,1.3,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202126,CH,other,5130,location,8670300,118166,NA,0.011,1.0999999999999999,1.5,0.06,1.36,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202127,CH,other,3706,location,8670300,121872,NA,0.009,0.8999999999999999,1.5,0.04,1.41,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202128,CH,other,3518,location,8670300,125390,NA,0.01,1,1.5,0.04,1.45,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202129,CH,other,2903,location,8670300,128293,NA,0.01,1,1.5,0.03,1.48,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202130,CH,other,1254,location,8670300,129547,NA,0.007,0.7000000000000001,1.4000000000000001,0.01,1.49,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202131,CH,other,684,location,8670300,130231,NA,0.005,0.5,1.4000000000000001,0.01,1.5,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202132,CH,other,1434,location,8670300,131665,NA,0.011,1.0999999999999999,1.4000000000000001,0.02,1.52,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202133,CH,other,1649,location,8670300,133314,NA,0.012,1.2,1.4000000000000001,0.02,1.54,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202134,CH,other,2941,location,8670300,136255,NA,0.018,1.7999999999999998,1.4000000000000001,0.03,1.57,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202135,CH,other,4524,location,8670300,140779,NA,0.029,2.9000000000000004,1.4000000000000001,0.05,1.62,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202136,CH,other,7259,location,8670300,148038,NA,0.038,3.8,1.5,0.08,1.71,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202137,CH,other,8598,location,8670300,156636,NA,0.039,3.9,1.5,0.1,1.81,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202138,CH,other,5665,location,8670300,162301,NA,0.029,2.9000000000000004,1.6,0.07,1.87,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202139,CH,other,5642,location,8670300,167943,NA,0.034,3.4000000000000004,1.6,0.07,1.94,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202140,CH,other,5013,location,8670300,172956,NA,0.031,3.1,1.6,0.06,1.99,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202141,CH,other,4451,location,8670300,177407,NA,0.026,2.6,1.6,0.05,2.05,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202142,CH,other,3060,location,8670300,180467,NA,0.022,2.1999999999999997,1.6,0.04,2.08,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202143,CH,other,2238,location,8670300,182705,NA,0.023,2.3,1.6,0.03,2.11,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202052,CHFL,vaccination_centre,287,location,8709355,287,NA,0.254,25.4,25.4,0,0,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202053,CHFL,vaccination_centre,2956,location,8709355,3243,NA,0.562,56.2,50.8,0.03,0.04,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202101,CHFL,vaccination_centre,13806,location,8709355,17049,NA,0.405,40.5,42.1,0.16,0.2,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202102,CHFL,vaccination_centre,30294,location,8709355,47343,NA,0.547,54.7,49.4,0.35,0.54,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202103,CHFL,vaccination_centre,55832,location,8709355,103175,NA,0.555,55.50000000000001,52.5,0.64,1.18,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202104,CHFL,vaccination_centre,56730,location,8709355,159905,NA,0.507,50.7,51.9,0.65,1.84,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202105,CHFL,vaccination_centre,52121,location,8709355,212026,NA,0.522,52.2,51.9,0.6,2.43,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202106,CHFL,vaccination_centre,67902,location,8709355,279928,NA,0.507,50.7,51.6,0.78,3.21,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202107,CHFL,vaccination_centre,82346,location,8709355,362274,NA,0.629,62.9,53.800000000000004,0.95,4.16,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202108,CHFL,vaccination_centre,86952,location,8709355,449226,NA,0.627,62.7,55.300000000000004,1,5.16,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202109,CHFL,vaccination_centre,86076,location,8709355,535302,NA,0.567,56.699999999999996,55.60000000000001,0.99,6.15,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202110,CHFL,vaccination_centre,87044,location,8709355,622346,NA,0.572,57.199999999999996,55.800000000000004,1,7.15,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202111,CHFL,vaccination_centre,84780,location,8709355,707126,NA,0.56,56.00000000000001,55.800000000000004,0.97,8.12,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202112,CHFL,vaccination_centre,115920,location,8709355,823046,NA,0.635,63.5,56.8,1.33,9.45,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202113,CHFL,vaccination_centre,118843,location,8709355,941889,NA,0.678,67.80000000000001,57.99999999999999,1.36,10.81,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202114,CHFL,vaccination_centre,149107,location,8709355,1090996,NA,0.708,70.8,59.4,1.71,12.53,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202115,CHFL,vaccination_centre,205478,location,8709355,1296474,NA,0.696,69.6,60.8,2.36,14.89,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202116,CHFL,vaccination_centre,262398,location,8709355,1558872,NA,0.714,71.39999999999999,62.4,3.01,17.9,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202117,CHFL,vaccination_centre,274869,location,8709355,1833741,NA,0.708,70.8,63.5,3.16,21.05,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202118,CHFL,vaccination_centre,322542,location,8709355,2156283,NA,0.714,71.39999999999999,64.60000000000001,3.7,24.76,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202119,CHFL,vaccination_centre,354178,location,8709355,2510461,NA,0.755,75.5,65.9,4.07,28.82,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202120,CHFL,vaccination_centre,408854,location,8709355,2919315,NA,0.716,71.6,66.7,4.69,33.52,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202121,CHFL,vaccination_centre,406518,location,8709355,3325833,NA,0.73,73,67.4,4.67,38.19,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202122,CHFL,vaccination_centre,477957,location,8709355,3803790,NA,0.752,75.2,68.30000000000001,5.49,43.67,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202123,CHFL,vaccination_centre,489669,location,8709355,4293459,NA,0.76,76,69.1,5.62,49.3,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202124,CHFL,vaccination_centre,468236,location,8709355,4761695,NA,0.776,77.60000000000001,69.8,5.38,54.67,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202125,CHFL,vaccination_centre,411471,location,8709355,5173166,NA,0.792,79.2,70.5,4.72,59.4,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202126,CHFL,vaccination_centre,354199,location,8709355,5527365,NA,0.788,78.8,71,4.07,63.46,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202127,CHFL,vaccination_centre,333446,location,8709355,5860811,NA,0.804,80.4,71.39999999999999,3.83,67.29,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202128,CHFL,vaccination_centre,300453,location,8709355,6161264,NA,0.821,82.1,71.89999999999999,3.45,70.74,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202129,CHFL,vaccination_centre,250528,location,8709355,6411792,NA,0.85,85,72.3,2.88,73.62,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202130,CHFL,vaccination_centre,157155,location,8709355,6568947,NA,0.84,84,72.6,1.8,75.42,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202131,CHFL,vaccination_centre,113657,location,8709355,6682604,NA,0.832,83.2,72.7,1.3,76.73,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
202132,CHFL,vaccination_centre,110207,location,8709355,6792811,NA,0.816,81.6,72.89999999999999,1.27,77.99,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
