geoRegion,datum,entries,entries_pos,entries_neg,sumTotal,freq,prct,anteil_pos,anteil_pos_diff,anteil_pos_all,pop,inz_entries,inzsumTotal,entries_diff_abs,entries_diff_inz,prct_diff,entries_diff_pct,type,version,datum_unit,datum_dboardformated,timeframe_all,timeframe_phase2,timeframe_phase2b,timeframe_phase3,timeframe_phase4,timeframe_28d,timeframe_14d,nachweismethode,type_variant
NE,202112,3358,194,3164,89250,1,100,5.8,0.09999999999999964,15.2,175894,1909.1,50740.79,530,301.31,0,18.7,COVID19Test,2021-11-03_07-53-32,isoweek,2021-12,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,PCR,
NW,202112,673,55,618,15561,1,100,8.2,2.1999999999999993,11.6,43520,1546.42,35755.97,143,328.59,0,27,COVID19Test,2021-11-03_07-53-32,isoweek,2021-12,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,PCR,
OW,202112,363,43,320,12261,1,100,11.8,4.500000000000001,14,38108,952.56,32174.35,32,83.98,0,9.7,COVID19Test,2021-11-03_07-53-32,isoweek,2021-12,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,PCR,
SG,202112,6938,573,6365,211540,1,100,8.3,2.200000000000001,14.2,514504,1348.48,41115.33,515,100.09,0,8,COVID19Test,2021-11-03_07-53-32,isoweek,2021-12,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,PCR,
SH,202112,927,59,868,33359,1,100,6.4,0.10000000000000053,10.3,83107,1115.43,40139.82,71,85.43,0,8.3,COVID19Test,2021-11-03_07-53-32,isoweek,2021-12,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,PCR,
SO,202112,4469,300,4169,124346,1,100,6.7,-0.2999999999999998,10.9,277462,1610.67,44815.51,579,208.68,0,14.9,COVID19Test,2021-11-03_07-53-32,isoweek,2021-12,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,PCR,
SZ,202112,2130,114,2016,70842,1,100,5.4,-0.5,12.5,162157,1313.54,43687.29,404,249.14,0,23.4,COVID19Test,2021-11-03_07-53-32,isoweek,2021-12,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,PCR,
TG,202112,3646,284,3362,109340,1,100,7.8,0.20000000000000018,12.4,282909,1288.75,38648.47,683,241.42,0,23.1,COVID19Test,2021-11-03_07-53-32,isoweek,2021-12,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,PCR,
TI,202112,8193,576,7617,205644,1,100,7,0.2999999999999998,13,350986,2334.28,58590.37,1114,317.39,0,15.7,COVID19Test,2021-11-03_07-53-32,isoweek,2021-12,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,PCR,
UR,202112,907,105,802,13202,1,100,11.6,1.5999999999999996,14.6,36819,2463.4,35856.49,264,717.02,0,41.1,COVID19Test,2021-11-03_07-53-32,isoweek,2021-12,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,PCR,
VD,202112,16365,890,15475,502029,1,100,5.4,0,12.1,814762,2008.56,61616.64,1175,144.21,0,7.7,COVID19Test,2021-11-03_07-53-32,isoweek,2021-12,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,PCR,
VS,202112,5498,396,5102,169067,1,100,7.2,1.7999999999999998,16.8,348503,1577.6,48512.35,-719,-206.32,0,-11.6,COVID19Test,2021-11-03_07-53-32,isoweek,2021-12,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,PCR,
ZG,202112,5000,140,4860,83967,1,100,2.8,0.8999999999999999,7.4,128794,3882.17,65194.81,-2099,-1629.73,0,-29.6,COVID19Test,2021-11-03_07-53-32,isoweek,2021-12,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,PCR,
ZH,202112,27101,1765,25336,850119,1,100,6.5,0.09999999999999964,9.8,1553423,1744.6,54725.53,4804,309.25,0,21.5,COVID19Test,2021-11-03_07-53-32,isoweek,2021-12,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,PCR,
AG,202113,6749,267,6482,78882,1,100,4,-1,8.4,694072,972.38,11365.1,163,23.49,0,2.5,COVID19Test,2021-11-03_07-53-32,isoweek,2021-13,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Antigen_Schnelltest,
AI,202113,169,13,156,1791,1,100,7.7,1.7999999999999998,9.9,16293,1037.26,10992.45,16,98.21,0,10.5,COVID19Test,2021-11-03_07-53-32,isoweek,2021-13,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Antigen_Schnelltest,
AR,202113,418,19,399,6875,1,100,4.5,-1,12.6,55309,755.75,12430.17,93,168.14,0,28.6,COVID19Test,2021-11-03_07-53-32,isoweek,2021-13,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Antigen_Schnelltest,
BE,202113,9434,254,9180,111771,1,100,2.7,-0.5,6.5,1043132,904.39,10714.94,1298,124.43,0,16,COVID19Test,2021-11-03_07-53-32,isoweek,2021-13,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Antigen_Schnelltest,
BL,202113,1563,45,1518,13882,1,100,2.9,-0.6000000000000001,20.2,290969,537.17,4770.95,5,1.72,0,0.3,COVID19Test,2021-11-03_07-53-32,isoweek,2021-13,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Antigen_Schnelltest,
BS,202113,1861,20,1841,15708,1,100,1.1,-0.7999999999999998,4.3,196735,945.94,7984.34,271,137.75,0,17,COVID19Test,2021-11-03_07-53-32,isoweek,2021-13,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Antigen_Schnelltest,
FL,202113,74,0,74,1237,1,100,0,0,3.8,39055,189.48,3167.33,-42,-107.54,0,-36.2,COVID19Test,2021-11-03_07-53-32,isoweek,2021-13,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Antigen_Schnelltest,
FR,202113,3084,119,2965,37425,1,100,3.9,-1.4,11.4,325496,947.48,11497.84,27,8.3,0,0.9,COVID19Test,2021-11-03_07-53-32,isoweek,2021-13,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Antigen_Schnelltest,
GE,202113,4923,291,4632,57046,1,100,5.9,0,10,506343,972.27,11266.28,-279,-55.1,0,-5.4,COVID19Test,2021-11-03_07-53-32,isoweek,2021-13,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Antigen_Schnelltest,
GL,202113,298,15,283,3453,1,100,5,0.40000000000000036,7.2,40851,729.48,8452.67,-8,-19.58,0,-2.6,COVID19Test,2021-11-03_07-53-32,isoweek,2021-13,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Antigen_Schnelltest,
GR,202113,2070,123,1947,49851,1,100,5.9,2.1000000000000005,5.7,200096,1034.5,24913.54,-84,-41.98,0,-3.9,COVID19Test,2021-11-03_07-53-32,isoweek,2021-13,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Antigen_Schnelltest,
JU,202113,953,45,908,7805,1,100,4.7,-1.0999999999999996,12.4,73709,1292.92,10588.94,132,179.08,0,16.1,COVID19Test,2021-11-03_07-53-32,isoweek,2021-13,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Antigen_Schnelltest,
