geoRegion,datum,entries,timeframe_all,timeframe_phase2,timeframe_phase2b,timeframe_phase3,timeframe_phase4,timeframe_vacc_info,timeframe_28d,timeframe_14d,sumTotal,offset_vacc_info,sumTotal_vacc_info,freq,prct,pop,inz_entries,inzsumTotal,type,type_variant,version,datum_unit,datum_dboardformated,entries_diff_abs,entries_diff_inz,entries_diff_pct,prct_diff
CH01,202115,102,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,5761,4687,1074,1,100,1669608,6.11,345.05,COVID19Hosp,,2021-11-03_07-53-32,isoweek,2021-15,-3,-0.18,-2.9,0
CH02,202115,66,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,6101,5124,977,1,100,1895693,3.48,321.83,COVID19Hosp,,2021-11-03_07-53-32,isoweek,2021-15,-11,-0.58,-14.3,0
CH03,202115,55,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,3162,2601,561,1,100,1181776,4.65,267.56,COVID19Hosp,,2021-11-03_07-53-32,isoweek,2021-15,-22,-1.87,-28.6,0
CH04,202115,118,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,4063,3105,958,1,100,1553423,7.6,261.55,COVID19Hosp,,2021-11-03_07-53-32,isoweek,2021-15,16,1.03,15.7,0
CH05,202115,58,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,3484,2885,599,1,100,1193069,4.86,292.02,COVID19Hosp,,2021-11-03_07-53-32,isoweek,2021-15,-12,-1.01,-17.1,0
CH06,202115,47,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,1881,1500,381,1,100,825745,5.69,227.79,COVID19Hosp,,2021-11-03_07-53-32,isoweek,2021-15,5,0.6,11.9,0
CH07,202115,44,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,3078,2686,392,1,100,350986,12.54,876.96,COVID19Hosp,,2021-11-03_07-53-32,isoweek,2021-15,7,2,18.9,0
CH01,202116,95,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,5856,4687,1169,1,100,1669608,5.69,350.74,COVID19Hosp,,2021-11-03_07-53-32,isoweek,2021-16,-7,-0.42,-6.9,0
CH02,202116,80,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,6181,5124,1057,1,100,1895693,4.22,326.05,COVID19Hosp,,2021-11-03_07-53-32,isoweek,2021-16,14,0.74,21.2,0
CH03,202116,51,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,3213,2601,612,1,100,1181776,4.32,271.88,COVID19Hosp,,2021-11-03_07-53-32,isoweek,2021-16,-4,-0.33,-7.3,0
