date,geoRegion,entries,pop,sumTotal,per100Persons,per100Persons_mean7d,per100PersonsTotal,mean7d,type,version,granularity
2020-12-21,AG,0,694072,0,0,NA,0,NA,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
2020-12-22,AG,0,694072,0,0,NA,0,NA,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
2020-12-23,AG,0,694072,0,0,NA,0,NA,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
2020-12-24,AG,1,694072,1,0,0,0,0.14,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
2020-12-25,AG,0,694072,1,0,0,0,14.43,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
2020-12-26,AG,0,694072,1,0,0,0,24.29,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
2020-12-27,AG,0,694072,1,0,0,0,34.71,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
2020-12-28,AG,100,694072,101,0.01,0,0.01,34.57,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
2020-12-29,AG,69,694072,170,0.01,0,0.02,34.71,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
2020-12-30,AG,73,694072,243,0.01,0,0.04,34.86,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
2020-12-31,AG,0,694072,243,0,0,0.04,34.86,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
2021-01-01,AG,1,694072,244,0,0,0.04,20.71,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
2021-01-02,AG,1,694072,245,0,0.01,0.04,76.14,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
2021-01-03,AG,0,694072,245,0,0.02,0.04,133.57,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
2021-01-04,AG,1,694072,246,0,0.03,0.04,237.14,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
2021-01-05,AG,457,694072,703,0.07,0.05,0.1,329.43,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
2021-01-06,AG,475,694072,1178,0.07,0.05,0.17,360.43,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
2021-01-07,AG,725,694072,1903,0.1,0.05,0.27,360.43,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
2021-01-08,AG,647,694072,2550,0.09,0.06,0.37,431,COVID19VaccDosesAdministered,2021-11-03_08-07-17,detailed
