sex,geoRegion,datum,entries,timeframe_all,timeframe_phase2,timeframe_phase2b,timeframe_phase3,timeframe_phase4,timeframe_vacc_info,timeframe_28d,timeframe_14d,sumTotal,offset_vacc_info,sumTotal_vacc_info,freq,prct,pop,inz_entries,inzsumTotal,type,type_variant,version,datum_unit,datum_dboardformated,entries_diff_abs,entries_diff_inz,entries_diff_pct,prct_diff
female,SO,202138,4,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,539,338,201,0.444,44.4,138836,2.88,388.23,COVID19Hosp,sex,2021-11-03_07-53-32,isoweek,2021-38,-4,-2.88,-50,-5.600000000000001
female,SZ,202138,2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,253,176,77,0.667,66.7,79048,2.53,320.06,COVID19Hosp,sex,2021-11-03_07-53-32,isoweek,2021-38,-1,-1.27,-33.3,33.4
female,TG,202138,3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,454,269,185,0.2,20,140382,2.14,323.4,COVID19Hosp,sex,2021-11-03_07-53-32,isoweek,2021-38,-3,-2.13,-50,-17.5
female,TI,202138,3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,1343,1102,241,0.5,50,180156,1.67,745.47,COVID19Hosp,sex,2021-11-03_07-53-32,isoweek,2021-38,2,1.11,200,30
female,UR,202138,2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,69,27,42,1,100,18051,11.08,382.25,COVID19Hosp,sex,2021-11-03_07-53-32,isoweek,2021-38,1,5.54,100,0
female,VD,202138,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,1449,1052,397,0.4,40,414545,1.45,349.54,COVID19Hosp,sex,2021-11-03_07-53-32,isoweek,2021-38,-3,-0.72,-33.3,-20
female,VS,202138,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,623,508,115,1,100,175548,0.57,354.89,COVID19Hosp,sex,2021-11-03_07-53-32,isoweek,2021-38,0,0,0,50
female,ZG,202138,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,114,37,77,0.333,33.300000000000004,63567,1.57,179.34,COVID19Hosp,sex,2021-11-03_07-53-32,isoweek,2021-38,-3,-4.72,-75,-23.79999999999999
female,ZH,202138,18,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,2186,1287,899,0.375,37.5,779124,2.31,280.57,COVID19Hosp,sex,2021-11-03_07-53-32,isoweek,2021-38,-14,-1.8,-43.8,-12.5
unknown,AG,202138,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,NA,NA,NA,COVID19Hosp,sex,2021-11-03_07-53-32,isoweek,2021-38,0,NA,NA,0
unknown,AI,202138,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,NA,NA,NA,NA,NA,COVID19Hosp,sex,2021-11-03_07-53-32,isoweek,2021-38,0,NA,NA,NA
unknown,AR,202138,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,NA,NA,NA,COVID19Hosp,sex,2021-11-03_07-53-32,isoweek,2021-38,0,NA,NA,0
unknown,BE,202138,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,1,0,1,0,0,NA,NA,NA,COVID19Hosp,sex,2021-11-03_07-53-32,isoweek,2021-38,0,NA,NA,0
unknown,BL,202138,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,NA,NA,NA,COVID19Hosp,sex,2021-11-03_07-53-32,isoweek,2021-38,0,NA,NA,0
unknown,BS,202138,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,NA,NA,NA,COVID19Hosp,sex,2021-11-03_07-53-32,isoweek,2021-38,0,NA,NA,0
unknown,FL,202138,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,NA,NA,NA,COVID19Hosp,sex,2021-11-03_07-53-32,isoweek,2021-38,0,NA,NA,0
unknown,FR,202138,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,1,1,0,0,0,NA,NA,NA,COVID19Hosp,sex,2021-11-03_07-53-32,isoweek,2021-38,0,NA,NA,0
unknown,GE,202138,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,NA,NA,NA,COVID19Hosp,sex,2021-11-03_07-53-32,isoweek,2021-38,0,NA,NA,0
unknown,GL,202138,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,NA,NA,NA,COVID19Hosp,sex,2021-11-03_07-53-32,isoweek,2021-38,0,NA,NA,0
unknown,GR,202138,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,NA,NA,NA,COVID19Hosp,sex,2021-11-03_07-53-32,isoweek,2021-38,0,NA,NA,0
unknown,JU,202138,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,NA,NA,NA,NA,NA,COVID19Hosp,sex,2021-11-03_07-53-32,isoweek,2021-38,0,NA,NA,NA
unknown,LU,202138,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,NA,NA,NA,COVID19Hosp,sex,2021-11-03_07-53-32,isoweek,2021-38,0,NA,NA,0
