date,sex,vaccination_status,entries,sumTotal,pop,inz_entries,inzsumTotal,geoRegion,type,type_variant,vaccine,data_completeness,version
202110,unknown,not_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-03_07-53-32
202110,unknown,unknown,0,1,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-03_07-53-32
202111,female,fully_vaccinated,5,17,273134,1.83,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-03_07-53-32
202111,female,partially_vaccinated,1,26,172828,0.58,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-03_07-53-32
202111,female,not_vaccinated,69,418,3941426,1.75,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-03_07-53-32
202111,female,unknown,110,811,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-03_07-53-32
202111,male,fully_vaccinated,5,19,204962,2.44,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-03_07-53-32
202111,male,partially_vaccinated,12,31,138346,8.67,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-03_07-53-32
202111,male,not_vaccinated,89,511,3978659,2.24,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-03_07-53-32
202111,male,unknown,121,942,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-03_07-53-32
202111,unknown,fully_vaccinated,0,0,63,0,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-03_07-53-32
202111,unknown,partially_vaccinated,0,0,73,0,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-03_07-53-32
202111,unknown,not_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-03_07-53-32
202111,unknown,unknown,0,1,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-03_07-53-32
202112,female,fully_vaccinated,2,19,312321,0.64,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-03_07-53-32
202112,female,partially_vaccinated,2,28,195143,1.02,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-03_07-53-32
202112,female,not_vaccinated,97,515,3879924,2.5,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-03_07-53-32
202112,female,unknown,110,921,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-03_07-53-32
