date,altersklasse_covid19,vaccination_status,entries,sumTotal,pop,inz_entries,inzsumTotal,geoRegion,type,type_variant,vaccine,data_completeness,version
202105,0 - 9,not_vaccinated,0,0,880563,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202105,0 - 9,unknown,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202105,10 - 19,fully_vaccinated,0,0,204,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202105,10 - 19,partially_vaccinated,0,0,1098,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202105,10 - 19,not_vaccinated,0,0,852073,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202105,10 - 19,unknown,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202105,20 - 29,fully_vaccinated,0,0,1480,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202105,20 - 29,partially_vaccinated,0,0,8196,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202105,20 - 29,not_vaccinated,0,0,1032941,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202105,20 - 29,unknown,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202105,30 - 39,fully_vaccinated,0,0,2103,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202105,30 - 39,partially_vaccinated,0,0,13225,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202105,30 - 39,not_vaccinated,0,0,1232912,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202105,30 - 39,unknown,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202105,40 - 49,fully_vaccinated,0,0,3090,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202105,40 - 49,partially_vaccinated,0,0,17980,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202105,40 - 49,not_vaccinated,0,1,1185835,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202105,40 - 49,unknown,1,2,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202105,50 - 59,fully_vaccinated,0,0,4651,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202105,50 - 59,partially_vaccinated,0,0,28277,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202105,50 - 59,not_vaccinated,1,2,1272615,0.08,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202105,50 - 59,unknown,2,5,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202105,60 - 69,fully_vaccinated,0,0,4397,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202105,60 - 69,partially_vaccinated,0,0,29781,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202105,60 - 69,not_vaccinated,8,8,938099,0.85,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202105,60 - 69,unknown,7,21,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202105,70 - 79,fully_vaccinated,0,0,10740,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202105,70 - 79,partially_vaccinated,1,2,92687,1.08,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202105,70 - 79,not_vaccinated,10,25,636486,1.57,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202105,70 - 79,unknown,16,34,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202105,80+,fully_vaccinated,0,0,20165,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
