sex,geoRegion,datum,entries,timeframe_all,timeframe_phase2,timeframe_phase2b,timeframe_phase3,timeframe_phase4,timeframe_vacc_info,timeframe_28d,timeframe_14d,sumTotal,offset_vacc_info,sumTotal_vacc_info,freq,prct,pop,inz_entries,inzsumTotal,type,type_variant,version,datum_unit,datum_dboardformated,entries_diff_abs,entries_diff_inz,entries_diff_pct,prct_diff
male,CH,202014,235,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,479,4812,0,0.61,61,4302599,5.46,11.13,COVID19Death,sex,2021-11-03_07-53-32,isoweek,2020-14,67,1.56,39.9,-5.400000000000006
female,CH,202014,150,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,286,4125,0,0.39,39,4367701,3.43,6.55,COVID19Death,sex,2021-11-03_07-53-32,isoweek,2020-14,65,1.48,76.5,5.399999999999999
unknown,CH,202014,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,NA,NA,NA,COVID19Death,sex,2021-11-03_07-53-32,isoweek,2020-14,0,NA,NA,0
male,CH,202015,183,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,662,4812,0,0.534,53.400000000000006,4302599,4.25,15.39,COVID19Death,sex,2021-11-03_07-53-32,isoweek,2020-15,-52,-1.21,-22.1,-7.599999999999994
female,CH,202015,160,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,446,4125,0,0.466,46.6,4367701,3.66,10.21,COVID19Death,sex,2021-11-03_07-53-32,isoweek,2020-15,10,0.23,6.7,7.600000000000001
unknown,CH,202015,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,NA,NA,NA,COVID19Death,sex,2021-11-03_07-53-32,isoweek,2020-15,0,NA,NA,0
male,CH,202016,124,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,786,4812,0,0.515,51.5,4302599,2.88,18.27,COVID19Death,sex,2021-11-03_07-53-32,isoweek,2020-16,-59,-1.37,-32.2,-1.9000000000000057
female,CH,202016,117,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,563,4125,0,0.485,48.5,4367701,2.68,12.89,COVID19Death,sex,2021-11-03_07-53-32,isoweek,2020-16,-43,-0.98,-26.9,1.8999999999999986
unknown,CH,202016,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,NA,NA,NA,COVID19Death,sex,2021-11-03_07-53-32,isoweek,2020-16,0,NA,NA,0
male,CH,202017,97,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,883,4812,0,0.5,50,4302599,2.25,20.52,COVID19Death,sex,2021-11-03_07-53-32,isoweek,2020-17,-27,-0.63,-21.8,-1.5
female,CH,202017,97,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,660,4125,0,0.5,50,4367701,2.22,15.11,COVID19Death,sex,2021-11-03_07-53-32,isoweek,2020-17,-20,-0.46,-17.1,1.5
unknown,CH,202017,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,NA,NA,NA,COVID19Death,sex,2021-11-03_07-53-32,isoweek,2020-17,0,NA,NA,0
male,CH,202018,51,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,934,4812,0,0.56,56.00000000000001,4302599,1.19,21.71,COVID19Death,sex,2021-11-03_07-53-32,isoweek,2020-18,-46,-1.06,-47.4,6.000000000000007
female,CH,202018,40,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,700,4125,0,0.44,44,4367701,0.92,16.03,COVID19Death,sex,2021-11-03_07-53-32,isoweek,2020-18,-57,-1.3,-58.8,-6
unknown,CH,202018,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,NA,NA,NA,COVID19Death,sex,2021-11-03_07-53-32,isoweek,2020-18,0,NA,NA,0
male,CH,202019,32,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,966,4812,0,0.593,59.3,4302599,0.74,22.45,COVID19Death,sex,2021-11-03_07-53-32,isoweek,2020-19,-19,-0.45,-37.3,3.29999999999999
female,CH,202019,22,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,722,4125,0,0.407,40.699999999999996,4367701,0.5,16.53,COVID19Death,sex,2021-11-03_07-53-32,isoweek,2020-19,-18,-0.42,-45,-3.3000000000000043
unknown,CH,202019,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,NA,NA,NA,COVID19Death,sex,2021-11-03_07-53-32,isoweek,2020-19,0,NA,NA,0
