date,vaccine,vaccination_status,entries,sumTotal,pop,inz_entries,inzsumTotal,mean7d,inzmean7d,prct,prctSumTotal,prct_mean7d,geoRegion,type,type_variant,data_completeness,version
2021-03-01,moderna,fully_vaccinated,0,4,106685,0,NA,0.43,0.4,0,9.52,NA,CHFL,COVID19Hosp,vaccine,limited,2021-11-03_07-53-32
2021-03-02,moderna,fully_vaccinated,2,6,117802,1.7,NA,0.57,0.48,66.67,13.33,NA,CHFL,COVID19Hosp,vaccine,limited,2021-11-03_07-53-32
2021-03-03,moderna,fully_vaccinated,1,7,129456,0.77,NA,0.57,0.44,33.33,14.58,28.57,CHFL,COVID19Hosp,vaccine,limited,2021-11-03_07-53-32
2021-03-04,moderna,fully_vaccinated,0,7,140649,0,NA,0.57,0.41,0,14,28.57,CHFL,COVID19Hosp,vaccine,limited,2021-11-03_07-53-32
2021-03-05,moderna,fully_vaccinated,1,8,150435,0.66,NA,0.57,0.38,100,15.69,NA,CHFL,COVID19Hosp,vaccine,limited,2021-11-03_07-53-32
2021-03-06,moderna,fully_vaccinated,0,8,152355,0,NA,0.29,0.19,0,15.38,NA,CHFL,COVID19Hosp,vaccine,limited,2021-11-03_07-53-32
2021-03-07,moderna,fully_vaccinated,0,8,153155,0,NA,0.29,0.19,0,15.09,NA,CHFL,COVID19Hosp,vaccine,limited,2021-11-03_07-53-32
2021-03-08,moderna,fully_vaccinated,0,8,160837,0,NA,0.29,0.18,NA,15.09,NA,CHFL,COVID19Hosp,vaccine,limited,2021-11-03_07-53-32
2021-03-09,moderna,fully_vaccinated,0,8,170999,0,NA,0.29,0.17,0,14.81,NA,CHFL,COVID19Hosp,vaccine,limited,2021-11-03_07-53-32
2021-03-10,moderna,fully_vaccinated,1,9,180397,0.55,NA,0.29,0.16,100,16.36,NA,CHFL,COVID19Hosp,vaccine,limited,2021-11-03_07-53-32
2021-03-11,moderna,fully_vaccinated,0,9,190815,0,NA,0.29,0.15,0,15.79,NA,CHFL,COVID19Hosp,vaccine,limited,2021-11-03_07-53-32
2021-03-12,moderna,fully_vaccinated,1,10,199485,0.5,NA,0.29,0.15,33.33,16.67,19.05,CHFL,COVID19Hosp,vaccine,limited,2021-11-03_07-53-32
2021-03-13,moderna,fully_vaccinated,0,10,201315,0,NA,0.29,0.14,0,16.39,19.05,CHFL,COVID19Hosp,vaccine,limited,2021-11-03_07-53-32
2021-03-14,moderna,fully_vaccinated,0,10,201663,0,NA,0.14,0.07,0,15.38,4.76,CHFL,COVID19Hosp,vaccine,limited,2021-11-03_07-53-32
2021-03-15,moderna,fully_vaccinated,0,10,208994,0,NA,0.14,0.07,0,14.93,4.76,CHFL,COVID19Hosp,vaccine,limited,2021-11-03_07-53-32
2021-03-16,moderna,fully_vaccinated,0,10,217613,0,NA,0,0,0,14.71,0,CHFL,COVID19Hosp,vaccine,limited,2021-11-03_07-53-32
2021-03-17,moderna,fully_vaccinated,0,10,226723,0,NA,0.14,0.06,0,14.08,3.57,CHFL,COVID19Hosp,vaccine,limited,2021-11-03_07-53-32
2021-03-18,moderna,fully_vaccinated,0,10,235940,0,NA,0.14,0.06,0,13.33,3.57,CHFL,COVID19Hosp,vaccine,limited,2021-11-03_07-53-32
2021-03-19,moderna,fully_vaccinated,0,10,243955,0,NA,0.14,0.06,0,12.82,3.57,CHFL,COVID19Hosp,vaccine,limited,2021-11-03_07-53-32
2021-03-20,moderna,fully_vaccinated,1,11,245635,0.41,NA,0.14,0.06,25,13.41,3.57,CHFL,COVID19Hosp,vaccine,limited,2021-11-03_07-53-32
2021-03-21,moderna,fully_vaccinated,0,11,245748,0,NA,0.14,0.06,0,13.25,NA,CHFL,COVID19Hosp,vaccine,limited,2021-11-03_07-53-32
2021-03-22,moderna,fully_vaccinated,0,11,252668,0,NA,0.14,0.06,0,13.1,NA,CHFL,COVID19Hosp,vaccine,limited,2021-11-03_07-53-32
2021-03-23,moderna,fully_vaccinated,0,11,260450,0,NA,0.14,0.05,0,12.79,NA,CHFL,COVID19Hosp,vaccine,limited,2021-11-03_07-53-32
2021-03-24,moderna,fully_vaccinated,0,11,267713,0,NA,0.14,0.05,NA,12.79,NA,CHFL,COVID19Hosp,vaccine,limited,2021-11-03_07-53-32
2021-03-25,moderna,fully_vaccinated,0,11,275574,0,NA,0.14,0.05,0,12.64,NA,CHFL,COVID19Hosp,vaccine,limited,2021-11-03_07-53-32
2021-03-26,moderna,fully_vaccinated,0,11,281590,0,NA,0.14,0.05,NA,12.64,NA,CHFL,COVID19Hosp,vaccine,limited,2021-11-03_07-53-32
2021-03-27,moderna,fully_vaccinated,1,12,282825,0.35,NA,0.14,0.05,50,13.48,NA,CHFL,COVID19Hosp,vaccine,limited,2021-11-03_07-53-32
2021-03-28,moderna,fully_vaccinated,0,12,283331,0,NA,0.14,0.05,0,13.19,NA,CHFL,COVID19Hosp,vaccine,limited,2021-11-03_07-53-32
2021-03-29,moderna,fully_vaccinated,0,12,288570,0,NA,0.29,0.1,0,12.9,NA,CHFL,COVID19Hosp,vaccine,limited,2021-11-03_07-53-32
2021-03-30,moderna,fully_vaccinated,0,12,293416,0,NA,0.29,0.1,0,12.77,11.9,CHFL,COVID19Hosp,vaccine,limited,2021-11-03_07-53-32
2021-03-31,moderna,fully_vaccinated,0,12,299675,0,NA,0.29,0.1,0,12.5,8.33,CHFL,COVID19Hosp,vaccine,limited,2021-11-03_07-53-32
2021-04-01,moderna,fully_vaccinated,1,13,307604,0.33,NA,0.29,0.09,33.33,13.13,8.33,CHFL,COVID19Hosp,vaccine,limited,2021-11-03_07-53-32
2021-04-02,moderna,fully_vaccinated,0,13,309251,0,NA,0.57,0.18,0,12.75,17.86,CHFL,COVID19Hosp,vaccine,limited,2021-11-03_07-53-32
2021-04-03,moderna,fully_vaccinated,1,14,310378,0.32,NA,0.57,0.18,25,13.21,17.86,CHFL,COVID19Hosp,vaccine,limited,2021-11-03_07-53-32
2021-04-04,moderna,fully_vaccinated,0,14,310391,0,NA,0.71,0.23,0,12.96,25,CHFL,COVID19Hosp,vaccine,limited,2021-11-03_07-53-32
2021-04-05,moderna,fully_vaccinated,2,16,310695,0.64,NA,0.71,0.23,66.67,14.41,23.1,CHFL,COVID19Hosp,vaccine,limited,2021-11-03_07-53-32
2021-04-06,moderna,fully_vaccinated,0,16,317684,0,NA,0.71,0.22,0,14.16,23.1,CHFL,COVID19Hosp,vaccine,limited,2021-11-03_07-53-32
2021-04-07,moderna,fully_vaccinated,1,17,324222,0.31,NA,0.57,0.18,50,14.78,19.52,CHFL,COVID19Hosp,vaccine,limited,2021-11-03_07-53-32
2021-04-08,moderna,fully_vaccinated,1,18,331907,0.3,NA,0.57,0.17,20,15,19.52,CHFL,COVID19Hosp,vaccine,limited,2021-11-03_07-53-32
2021-04-09,moderna,fully_vaccinated,0,18,338848,0,NA,0.43,0.13,0,14.52,17.14,CHFL,COVID19Hosp,vaccine,limited,2021-11-03_07-53-32
2021-04-10,moderna,fully_vaccinated,0,18,341205,0,NA,0.43,0.13,0,14.29,17.14,CHFL,COVID19Hosp,vaccine,limited,2021-11-03_07-53-32
2021-04-11,moderna,fully_vaccinated,0,18,341402,0,NA,0.43,0.13,0,13.74,24.29,CHFL,COVID19Hosp,vaccine,limited,2021-11-03_07-53-32
2021-04-12,moderna,fully_vaccinated,1,19,345475,0.29,NA,0.43,0.12,50,14.29,23.81,CHFL,COVID19Hosp,vaccine,limited,2021-11-03_07-53-32
2021-04-13,moderna,fully_vaccinated,0,19,350858,0,NA,0.57,0.16,0,13.97,26.67,CHFL,COVID19Hosp,vaccine,limited,2021-11-03_07-53-32
2021-04-14,moderna,fully_vaccinated,1,20,356128,0.28,NA,0.71,0.2,100,14.6,31.43,CHFL,COVID19Hosp,vaccine,limited,2021-11-03_07-53-32
2021-04-15,moderna,fully_vaccinated,1,21,362186,0.28,NA,0.71,0.2,16.67,14.69,31.43,CHFL,COVID19Hosp,vaccine,limited,2021-11-03_07-53-32
2021-04-16,moderna,fully_vaccinated,1,22,367948,0.27,NA,0.71,0.19,20,14.86,26.33,CHFL,COVID19Hosp,vaccine,limited,2021-11-03_07-53-32
2021-04-17,moderna,fully_vaccinated,1,23,369971,0.27,NA,0.71,0.19,33.33,15.23,26.33,CHFL,COVID19Hosp,vaccine,limited,2021-11-03_07-53-32
2021-04-18,moderna,fully_vaccinated,0,23,369995,0,NA,0.57,0.15,0,15.13,12.04,CHFL,COVID19Hosp,vaccine,limited,2021-11-03_07-53-32
2021-04-19,moderna,fully_vaccinated,1,24,374793,0.27,NA,0.43,0.11,14.29,15.09,9.66,CHFL,COVID19Hosp,vaccine,limited,2021-11-03_07-53-32
2021-04-20,moderna,fully_vaccinated,0,24,383888,0,NA,0.43,0.11,0,14.91,10.37,CHFL,COVID19Hosp,vaccine,limited,2021-11-03_07-53-32
2021-04-21,moderna,fully_vaccinated,0,24,394734,0,NA,0.43,0.11,0,14.81,19.9,CHFL,COVID19Hosp,vaccine,limited,2021-11-03_07-53-32
2021-04-22,moderna,fully_vaccinated,0,24,410025,0,NA,0.43,0.1,0,14.63,19.9,CHFL,COVID19Hosp,vaccine,limited,2021-11-03_07-53-32
2021-04-23,moderna,fully_vaccinated,1,25,422491,0.24,NA,0.43,0.1,25,14.88,20.71,CHFL,COVID19Hosp,vaccine,limited,2021-11-03_07-53-32
2021-04-24,moderna,fully_vaccinated,1,26,427151,0.23,NA,0.57,0.13,100,15.38,25.48,CHFL,COVID19Hosp,vaccine,limited,2021-11-03_07-53-32
2021-04-25,moderna,fully_vaccinated,0,26,427805,0,NA,0.57,0.13,0,15.03,25.48,CHFL,COVID19Hosp,vaccine,limited,2021-11-03_07-53-32
2021-04-26,moderna,fully_vaccinated,1,27,441517,0.23,NA,0.71,0.16,20,15.17,29.05,CHFL,COVID19Hosp,vaccine,limited,2021-11-03_07-53-32
2021-04-27,moderna,fully_vaccinated,1,28,459348,0.22,NA,0.71,0.15,33.33,15.47,30.24,CHFL,COVID19Hosp,vaccine,limited,2021-11-03_07-53-32
2021-04-28,moderna,fully_vaccinated,0,28,474214,0,NA,0.57,0.12,0,14.97,15.95,CHFL,COVID19Hosp,vaccine,limited,2021-11-03_07-53-32
2021-04-29,moderna,fully_vaccinated,1,29,489478,0.2,NA,0.57,0.12,25,15.18,15.95,CHFL,COVID19Hosp,vaccine,limited,2021-11-03_07-53-32
2021-04-30,moderna,fully_vaccinated,1,30,497776,0.2,NA,0.43,0.09,33.33,15.46,13.09,CHFL,COVID19Hosp,vaccine,limited,2021-11-03_07-53-32
2021-05-01,moderna,fully_vaccinated,0,30,499097,0,NA,0.29,0.06,0,15.23,8.33,CHFL,COVID19Hosp,vaccine,limited,2021-11-03_07-53-32
