nachweismethode,geoRegion,datum,entries,entries_pos,entries_neg,sumTotal,anteil_pos,anteil_pos_diff,anteil_pos_all,freq,prct,pop,inz_entries,inzsumTotal,type,type_variant,version,datum_unit,datum_dboardformated,entries_diff_abs,entries_diff_inz,entries_diff_pct,prct_diff,timeframe_all,timeframe_phase2,timeframe_phase2b,timeframe_phase3,timeframe_phase4,timeframe_28d,timeframe_14d
all,GR,202107,15012,146,14866,143383,1,-0.8999999999999999,7.4,1,100,200096,7502.4,71657.1,COVID19Test,,2021-11-03_07-53-32,isoweek,2021-07,4362,2179.95,41,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
all,JU,202107,1442,92,1350,35523,6.4,-0.6999999999999993,16.1,1,100,73709,1956.34,48193.57,COVID19Test,,2021-11-03_07-53-32,isoweek,2021-07,137,185.86,10.5,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
all,LU,202107,4114,235,3879,165709,5.7,0.40000000000000036,13.3,1,100,416347,988.12,39800.7,COVID19Test,,2021-11-03_07-53-32,isoweek,2021-07,-1032,-247.87,-20.1,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
all,NE,202107,5047,373,4674,86098,7.4,0.5,16.2,1,100,175894,2869.34,48948.8,COVID19Test,,2021-11-03_07-53-32,isoweek,2021-07,264,150.09,5.5,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
all,NW,202107,555,41,514,15986,7.4,1,12,1,100,43520,1275.28,36732.54,COVID19Test,,2021-11-03_07-53-32,isoweek,2021-07,-121,-278.03,-17.9,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
all,OW,202107,489,55,434,12215,11.2,4.299999999999999,14.6,1,100,38108,1283.2,32053.64,COVID19Test,,2021-11-03_07-53-32,isoweek,2021-07,-44,-115.46,-8.3,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
all,SG,202107,7226,382,6844,221247,5.3,-0.7000000000000002,15.5,1,100,514504,1404.46,43002,COVID19Test,,2021-11-03_07-53-32,isoweek,2021-07,-801,-155.68,-10,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
all,SH,202107,1176,49,1127,35696,4.2,0.9000000000000004,10.5,1,100,83107,1415.04,42951.86,COVID19Test,,2021-11-03_07-53-32,isoweek,2021-07,77,92.65,7,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
all,SO,202107,4165,259,3906,119382,6.2,1.5,11.4,1,100,277462,1501.11,43026.43,COVID19Test,,2021-11-03_07-53-32,isoweek,2021-07,-109,-39.28,-2.6,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
all,SZ,202107,2325,113,2212,71730,4.9,-0.1999999999999993,13.7,1,100,162157,1433.8,44234.91,COVID19Test,,2021-11-03_07-53-32,isoweek,2021-07,-346,-213.37,-13,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
all,TG,202107,4496,280,4216,118909,6.2,0.7999999999999998,12.4,1,100,282909,1589.2,42030.83,COVID19Test,,2021-11-03_07-53-32,isoweek,2021-07,153,54.08,3.5,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
all,TI,202107,6742,307,6435,191106,4.6,0.5999999999999996,13.7,1,100,350986,1920.87,54448.33,COVID19Test,,2021-11-03_07-53-32,isoweek,2021-07,-1444,-411.42,-17.6,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
all,UR,202107,451,23,428,11366,5.1,0,15,1,100,36819,1224.91,30869.93,COVID19Test,,2021-11-03_07-53-32,isoweek,2021-07,-101,-274.32,-18.3,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
all,VD,202107,22414,1230,21184,512522,5.5,-0.2999999999999998,13,1,100,814762,2750.99,62904.5,COVID19Test,,2021-11-03_07-53-32,isoweek,2021-07,1148,140.9,5.4,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
all,VS,202107,8948,396,8552,171560,4.4,-1,17.7,1,100,348503,2567.55,49227.7,COVID19Test,,2021-11-03_07-53-32,isoweek,2021-07,120,34.43,1.4,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
all,ZG,202107,2159,92,2067,63727,4.3,-1.7999999999999998,10.4,1,100,128794,1676.32,49479.79,COVID19Test,,2021-11-03_07-53-32,isoweek,2021-07,-455,-353.28,-17.4,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
all,ZH,202107,31341,1270,30071,905219,4.1,-0.3000000000000007,10.1,1,100,1553423,2017.54,58272.54,COVID19Test,,2021-11-03_07-53-32,isoweek,2021-07,-5604,-360.76,-15.2,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
all,AG,202108,8834,546,8288,313549,6.2,1.1000000000000005,12,1,100,694072,1272.78,45175.28,COVID19Test,,2021-11-03_07-53-32,isoweek,2021-08,-474,-68.29,-5.1,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
all,AI,202108,437,9,428,6181,2.1,-2.1,14.4,1,100,16293,2682.13,37936.54,COVID19Test,,2021-11-03_07-53-32,isoweek,2021-08,151,926.77,52.8,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
all,AR,202108,730,32,698,23315,4.4,-0.6999999999999993,13.5,1,100,55309,1319.86,42154.08,COVID19Test,,2021-11-03_07-53-32,isoweek,2021-08,-72,-130.18,-9,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
all,BE,202108,15821,723,15098,490953,4.6,0.8999999999999995,10.8,1,100,1043132,1516.68,47065.28,COVID19Test,,2021-11-03_07-53-32,isoweek,2021-08,-1050,-100.66,-6.2,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
all,BL,202108,5684,210,5474,154593,3.7,0.40000000000000036,8.7,1,100,290969,1953.47,53130.4,COVID19Test,,2021-11-03_07-53-32,isoweek,2021-08,-1079,-370.83,-16,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
